ID,invoice_ID,lineNumber,description,quantity,unitPrice,totalAmount
30000000-0000-4000-8000-000000000001,20000000-0000-4000-8000-000000000001,1,Software Licenses,10,3000,30000
30000000-0000-4000-8000-000000000002,20000000-0000-4000-8000-000000000001,2,Support Services,4,5000,20000
30000000-0000-4000-8000-000000000003,20000000-0000-4000-8000-000000000002,1,Consulting Hours,50,300,15000
30000000-0000-4000-8000-000000000004,20000000-0000-4000-8000-000000000002,2,Training Services,20,500,10000
30000000-0000-4000-8000-000000000005,20000000-0000-4000-8000-000000000003,1,Raw Materials,100,100,10000
30000000-0000-4000-8000-000000000006,20000000-0000-4000-8000-000000000003,2,Logistics Services,50,100,5000
30000000-0000-4000-8000-000000000007,20000000-0000-4000-8000-000000000004,1,Office Supplies,20,200,4000
30000000-0000-4000-8000-000000000008,20000000-0000-4000-8000-000000000004,2,Printing Services,40,100,4000
30000000-0000-4000-8000-000000000009,20000000-0000-4000-8000-000000000005,1,Equipment Lease,8,3000,24000
30000000-0000-4000-8000-000000000010,20000000-0000-4000-8000-000000000005,2,Maintenance Contract,4,2000,8000
30000000-0000-4000-8000-000000000011,20000000-0000-4000-8000-000000000006,1,Software Licenses,6,2000,12000
30000000-0000-4000-8000-000000000012,20000000-0000-4000-8000-000000000006,2,Support Services,3,2000,6000
30000000-0000-4000-8000-000000000013,20000000-0000-4000-8000-000000000007,1,Consulting Services,30,1000,30000
30000000-0000-4000-8000-000000000014,20000000-0000-4000-8000-000000000007,2,Training Services,15,1000,15000
30000000-0000-4000-8000-000000000015,20000000-0000-4000-8000-000000000008,1,Raw Materials,40,200,8000
30000000-0000-4000-8000-000000000016,20000000-0000-4000-8000-000000000008,2,Packaging Materials,40,100,4000
30000000-0000-4000-8000-000000000017,20000000-0000-4000-8000-000000000009,1,Office Supplies,19,250,4750
30000000-0000-4000-8000-000000000018,20000000-0000-4000-8000-000000000009,2,Printing Services,19,250,4750
30000000-0000-4000-8000-000000000019,20000000-0000-4000-8000-000000000010,1,Logistics Services,70,200,14000
30000000-0000-4000-8000-000000000020,20000000-0000-4000-8000-000000000010,2,Installation Services,35,200,7000
30000000-0000-4000-8000-000000000021,20000000-0000-4000-8000-000000000011,1,Equipment Lease,10,4000,40000
30000000-0000-4000-8000-000000000022,20000000-0000-4000-8000-000000000011,2,Maintenance Contract,10,2000,20000
30000000-0000-4000-8000-000000000023,20000000-0000-4000-8000-000000000012,1,Consulting Hours,45,400,18000
30000000-0000-4000-8000-000000000024,20000000-0000-4000-8000-000000000012,2,Training Services,18,500,9000
30000000-0000-4000-8000-000000000025,20000000-0000-4000-8000-000000000013,1,Raw Materials,70,150,10500
30000000-0000-4000-8000-000000000026,20000000-0000-4000-8000-000000000013,2,Packaging Materials,35,100,3500
30000000-0000-4000-8000-000000000027,20000000-0000-4000-8000-000000000014,1,Software Licenses,11,2000,22000
30000000-0000-4000-8000-000000000028,20000000-0000-4000-8000-000000000014,2,Support Services,11,1000,11000
30000000-0000-4000-8000-000000000029,20000000-0000-4000-8000-000000000015,1,Office Supplies,14,300,4200
30000000-0000-4000-8000-000000000030,20000000-0000-4000-8000-000000000015,2,Printing Services,14,200,2800
30000000-0000-4000-8000-000000000031,20000000-0000-4000-8000-000000000016,1,Consulting Services,28,1000,28000
30000000-0000-4000-8000-000000000032,20000000-0000-4000-8000-000000000016,2,Training Services,14,1000,14000
30000000-0000-4000-8000-000000000033,20000000-0000-4000-8000-000000000017,1,Equipment Lease,4,3000,12000
30000000-0000-4000-8000-000000000034,20000000-0000-4000-8000-000000000017,2,Maintenance Contract,7,1000,7000
30000000-0000-4000-8000-000000000035,20000000-0000-4000-8000-000000000018,1,Logistics Services,55,300,16500
30000000-0000-4000-8000-000000000036,20000000-0000-4000-8000-000000000018,2,Installation Services,22,250,5500
30000000-0000-4000-8000-000000000037,20000000-0000-4000-8000-000000000019,1,Raw Materials,50,150,7500
30000000-0000-4000-8000-000000000038,20000000-0000-4000-8000-000000000019,2,Packaging Materials,75,100,7500
30000000-0000-4000-8000-000000000039,20000000-0000-4000-8000-000000000020,1,Software Licenses,13,1500,19500
30000000-0000-4000-8000-000000000040,20000000-0000-4000-8000-000000000020,2,Support Services,13,500,6500
